date,type,agenda,packet,minutes
Jan 5th 2022, Board,,https://cdn.sfpride.org/docs/meetings/20220105-sfpride-board-packet.pdf,https://cdn.sfpride.org/docs/meetings/20220105-sfpride-board-minutes.pdf
Jan 12th 2022, Membership,https://cdn.sfpride.org/docs/meetings/20220112-sfpride-membership-agenda.pdf
Feb 2nd 2022, Board,,https://cdn.sfpride.org/docs/meetings/20220202-sfpride-board-packet.pdf,https://cdn.sfpride.org/docs/meetings/20220202-sfpride-board-minutes.pdf
Feb 9th 2022, Membership,https://storage.googleapis.com/sfpride/docs/meetings/20220209-sfpride-membership-agenda.pdf
Mar 2nd 2022, Board,,https://cdn.sfpride.org/docs/meetings/20220302-sfpride-board-packet.pdf,https://cdn.sfpride.org/docs/meetings/20220302-sfpride-board-minutes.pdf
Mar 9th 2022, Membership,https://storage.googleapis.com/sfpride/docs/meetings/20220309-sfpride-membership-agenda.pdf
Apr 6th 2022, Board,,https://cdn.sfpride.org/docs/meetings/20220406-sfpride-board-packet.pdf
Apr 13th 2022, Membership,https://cdn.sfpride.org/docs/meetings/20220413-sfpride-membership-agenda.pdf
May 4th 2022, Board,,https://cdn.sfpride.org/docs/meetings/20220504-sfpride-board-packet.pdf,https://cdn.sfpride.org/docs/meetings/20220504-sfpride-board-minutes.pdf
May 11th 2022, Membership,https://cdn.sfpride.org/docs/meetings/20220511-sfpride-membership-agenda.pdf
Jun 8th 2022, Board,,https://cdn.sfpride.org/docs/meetings/20220608-sfpride-board-packet.pdf,https://cdn.sfpride.org/docs/meetings/20220608-sfpride-board-minutes.pdf
Jun 15th 2022, Membership
Jul 6th 2022, Board,,https://cdn.sfpride.org/docs/meetings/20220706-sfpride-board-packet.pdf,https://cdn.sfpride.org/docs/meetings/20220706-sfpride-board-minutes.pdf
Jul 13th 2022, Membership,https://cdn.sfpride.org/docs/meetings/20220713-sfpride-membership-agenda.pdf,https://cdn.sfpride.org/docs/meetings/20220713-sfpride-membership-packet.pdf
Aug 3rd 2022, Board,https://cdn.sfpride.org/docs/meetings/20220803-sfpride-board-agenda.pdf,https://cdn.sfpride.org/docs/meetings/20220803-sfpride-board-packet.pdf,https://cdn.sfpride.org/docs/meetings/20220803-sfpride-board-minutes.pdf
Aug 10th 2022, Membership,https://cdn.sfpride.org/docs/meetings/20220810-sfpride-membership-agenda.pdf
Sep 7th 2022, Board,,https://cdn.sfpride.org/docs/meetings/20220907-sfpride-board-packet.pdf
Sat Sep 10th 2022, Annual General,,https://cdn.sfpride.org/docs/meetings/20220910-sfpride-annualgeneralmeeting-packet.pdf
&nbsp;,
Oct 5th 2022, Board,https://cdn.sfpride.org/docs/meetings/20221005-sfpride-board-agenda.pdf,https://cdn.sfpride.org/docs/meetings/20221005-sfpride-board-agenda.pdf
Oct 12th 2022, Membership,https://cdn.sfpride.org/docs/meetings/20221012-sfpride-membership-agenda.pdf
Nov 2nd 2022, Board,,https://storage.googleapis.com/sfpride/docs/meetings/20221102-sfpride-board-packet.pdf
Nov 9th 2022, Membership,,https://storage.googleapis.com/sfpride/docs/meetings/20221109-sfpride-membership-packet.pdf
Dec 7th 2022, Board,https://storage.googleapis.com/sfpride/docs/meetings/20221207-sfpride-board-agenda.pdf,https://storage.googleapis.com/sfpride/docs/meetings/20221207-sfpride-board-packet.pdf,https://storage.googleapis.com/sfpride/docs/meetings/20221207-sfpride-board-minutes.pdf
c,"Holiday Party on Dec 14th, 6-8pm at La Cocina"
